call_id,hcp_id,rep_id,call_date,product_discussed,call_duration_min,samples_dropped
CALL000215,HCP0050,REP015,2025-11-01,PRD002,10,1
CALL000216,HCP0050,REP015,2025-07-24,PRD004,16,0
CALL000217,HCP0051,REP019,2025-12-20,PRD004,21,0
CALL000218,HCP0051,REP019,2025-05-12,PRD003,22,0
CALL000219,HCP0051,REP019,2025-02-06,PRD002,12,3
CALL000220,HCP0052,REP028,2025-01-27,PRD004,11,1
CALL000221,HCP0052,REP028,2025-12-01,PRD002,7,2
CALL000222,HCP0052,REP028,2025-12-04,PRD003,22,0
CALL000223,HCP0052,REP028,2025-10-15,PRD002,26,0
CALL000224,HCP0053,REP002,2025-05-14,PRD002,29,2
CALL000225,HCP0053,REP002,2025-05-12,PRD004,11,0
CALL000226,HCP0053,REP002,2025-02-08,PRD005,22,3
CALL000227,HCP0053,REP002,2025-01-26,PRD004,20,1
CALL000228,HCP0054,REP011,2025-07-02,PRD002,24,0
CALL000229,HCP0055,REP003,2025-03-22,PRD003,13,2
CALL000230,HCP0055,REP003,2025-08-09,PRD005,14,0
CALL000231,HCP0055,REP003,2025-02-03,PRD001,23,2
CALL000232,HCP0055,REP003,2025-04-15,PRD003,12,0
CALL000233,HCP0056,REP019,2025-12-01,PRD003,19,3
CALL000234,HCP0057,REP006,2025-11-11,PRD003,12,2
CALL000235,HCP0057,REP006,2025-12-09,PRD002,13,1
CALL000236,HCP0057,REP006,2025-06-14,PRD002,6,3
CALL000237,HCP0057,REP006,2025-10-10,PRD004,5,2
CALL000238,HCP0057,REP006,2025-03-12,PRD005,23,1
CALL000239,HCP0057,REP006,2025-01-23,PRD004,5,1
CALL000240,HCP0058,REP003,2025-07-14,PRD002,6,0
CALL000241,HCP0059,REP020,2025-09-13,PRD003,7,2
CALL000242,HCP0059,REP020,2025-05-20,PRD005,12,0
CALL000243,HCP0059,REP020,2025-08-07,PRD001,5,1
CALL000244,HCP0059,REP020,2025-09-02,PRD005,13,0
CALL000245,HCP0059,REP020,2025-03-12,PRD005,25,0
CALL000246,HCP0059,REP020,2025-01-31,PRD003,29,0
CALL000247,HCP0059,REP020,2025-01-28,PRD002,13,3
CALL000248,HCP0059,REP020,2025-05-29,PRD004,14,0
CALL000249,HCP0059,REP020,2025-01-14,PRD003,26,0
CALL000250,HCP0060,REP020,2025-05-31,PRD004,16,0
CALL000251,HCP0060,REP020,2025-08-23,PRD003,27,1
CALL000252,HCP0061,REP014,2025-12-23,PRD001,11,1
CALL000253,HCP0063,REP018,2025-06-19,PRD001,6,1
CALL000254,HCP0063,REP018,2025-06-15,PRD004,19,0
CALL000255,HCP0063,REP018,2025-07-03,PRD004,14,1
CALL000256,HCP0063,REP018,2025-05-04,PRD003,29,0
CALL000257,HCP0063,REP018,2025-09-27,PRD005,20,0
CALL000258,HCP0063,REP018,2025-02-08,PRD005,15,0
CALL000259,HCP0063,REP018,2025-03-31,PRD003,17,0
CALL000260,HCP0064,REP018,2025-06-11,PRD003,20,1
CALL000261,HCP0064,REP018,2025-12-01,PRD005,21,1
CALL000262,HCP0064,REP018,2025-10-17,PRD002,24,3
CALL000263,HCP0064,REP018,2025-08-29,PRD005,13,2
CALL000264,HCP0064,REP018,2025-03-17,PRD004,16,0
CALL000265,HCP0065,REP029,2025-09-25,PRD002,16,1
CALL000266,HCP0065,REP029,2025-01-22,PRD001,9,3
CALL000267,HCP0065,REP029,2025-10-07,PRD002,24,2
CALL000268,HCP0066,REP024,2025-02-15,PRD003,24,0
CALL000269,HCP0066,REP024,2025-08-05,PRD002,6,3
CALL000270,HCP0066,REP024,2025-06-26,PRD003,26,1
CALL000271,HCP0066,REP024,2025-01-19,PRD002,21,0
CALL000272,HCP0066,REP024,2025-07-01,PRD001,7,0
CALL000273,HCP0066,REP024,2025-09-07,PRD001,16,1
CALL000274,HCP0067,REP002,2025-06-13,PRD003,13,2
CALL000275,HCP0067,REP002,2025-12-03,PRD005,21,0
CALL000276,HCP0067,REP002,2025-07-12,PRD005,12,1
CALL000277,HCP0067,REP002,2025-06-25,PRD003,23,3
CALL000278,HCP0067,REP002,2025-02-10,PRD002,24,0
CALL000279,HCP0067,REP002,2025-06-04,PRD001,21,1
CALL000280,HCP0067,REP002,2025-04-19,PRD001,21,3
CALL000281,HCP0067,REP002,2025-02-17,PRD001,11,0
CALL000282,HCP0067,REP002,2025-10-12,PRD001,11,1
CALL000283,HCP0069,REP007,2025-10-12,PRD004,6,2
CALL000284,HCP0069,REP007,2025-07-05,PRD005,6,0
CALL000285,HCP0069,REP007,2025-07-15,PRD002,11,1
CALL000286,HCP0069,REP007,2025-06-21,PRD005,20,1
CALL000287,HCP0069,REP007,2025-11-27,PRD005,16,2
CALL000288,HCP0069,REP007,2025-01-30,PRD005,9,1
CALL000289,HCP0070,REP001,2025-01-28,PRD003,10,1
CALL000290,HCP0070,REP001,2025-01-23,PRD002,23,1
CALL000291,HCP0071,REP019,2025-09-28,PRD003,5,0
CALL000292,HCP0071,REP019,2025-06-26,PRD001,24,0
CALL000293,HCP0071,REP019,2025-01-10,PRD003,21,0
CALL000294,HCP0071,REP019,2025-10-02,PRD005,25,1
CALL000295,HCP0071,REP019,2025-08-10,PRD002,27,1
CALL000296,HCP0071,REP019,2025-03-11,PRD004,25,1
CALL000297,HCP0071,REP019,2025-05-21,PRD001,27,1
CALL000298,HCP0072,REP025,2025-05-17,PRD003,29,1
CALL000299,HCP0072,REP025,2025-11-29,PRD004,14,1
CALL000300,HCP0072,REP025,2025-05-30,PRD003,17,0
CALL000301,HCP0072,REP025,2025-03-11,PRD003,29,1
CALL000302,HCP0072,REP025,2025-04-20,PRD003,21,2
CALL000303,HCP0073,REP020,2025-12-02,PRD001,12,1
CALL000304,HCP0073,REP020,2025-08-06,PRD004,15,1
CALL000305,HCP0074,REP028,2025-08-09,PRD005,10,1
CALL000306,HCP0074,REP028,2025-07-13,PRD001,28,1
CALL000307,HCP0074,REP028,2025-06-03,PRD003,28,0
CALL000308,HCP0074,REP028,2025-05-28,PRD003,14,2
CALL000309,HCP0074,REP028,2025-12-21,PRD002,16,0
CALL000310,HCP0074,REP028,2025-05-06,PRD002,11,1
CALL000311,HCP0075,REP015,2025-05-29,PRD002,10,0
CALL000312,HCP0075,REP015,2025-08-08,PRD003,28,0
CALL000313,HCP0075,REP015,2025-05-30,PRD004,14,0
CALL000314,HCP0075,REP015,2025-11-21,PRD002,11,0
CALL000315,HCP0075,REP015,2025-06-09,PRD001,28,1
CALL000316,HCP0075,REP015,2025-08-02,PRD003,11,0
CALL000317,HCP0075,REP015,2025-02-19,PRD003,5,1
CALL000318,HCP0076,REP025,2025-09-28,PRD002,5,0
CALL000319,HCP0076,REP025,2025-05-06,PRD004,9,0
CALL000320,HCP0076,REP025,2025-10-30,PRD005,20,1
CALL000321,HCP0076,REP025,2025-04-03,PRD002,6,1
CALL000322,HCP0076,REP025,2025-08-27,PRD001,15,2
CALL000323,HCP0077,REP007,2025-05-16,PRD004,15,0
CALL000324,HCP0077,REP007,2025-10-18,PRD002,18,1
CALL000325,HCP0078,REP018,2025-04-21,PRD004,13,1
CALL000326,HCP0078,REP018,2025-11-06,PRD001,13,0
CALL000327,HCP0078,REP018,2025-03-31,PRD004,12,0
CALL000328,HCP0078,REP018,2025-07-01,PRD002,16,0
CALL000329,HCP0078,REP018,2025-01-05,PRD003,20,1
CALL000330,HCP0078,REP018,2025-03-25,PRD005,20,2
CALL000331,HCP0079,REP028,2025-08-05,PRD002,26,0
CALL000332,HCP0079,REP028,2025-02-02,PRD001,6,2
CALL000333,HCP0080,REP015,2025-02-28,PRD004,17,3
CALL000334,HCP0080,REP015,2025-01-02,PRD003,28,3
CALL000335,HCP0080,REP015,2025-03-04,PRD003,13,1
CALL000336,HCP0081,REP003,2025-04-15,PRD001,27,0
CALL000337,HCP0081,REP003,2025-01-01,PRD001,13,0
CALL000338,HCP0081,REP003,2025-11-30,PRD001,21,1
CALL000339,HCP0081,REP003,2025-08-08,PRD005,6,2
CALL000340,HCP0081,REP003,2025-11-26,PRD004,8,1
CALL000341,HCP0081,REP003,2025-04-07,PRD004,20,1
CALL000342,HCP0082,REP022,2025-01-06,PRD002,14,0
CALL000343,HCP0082,REP022,2025-05-10,PRD005,5,1
CALL000344,HCP0082,REP022,2025-04-10,PRD004,14,2
CALL000345,HCP0082,REP022,2025-12-09,PRD001,6,1
CALL000346,HCP0083,REP025,2025-09-08,PRD001,27,0
CALL000347,HCP0083,REP025,2025-02-05,PRD001,6,0
CALL000348,HCP0084,REP028,2025-09-27,PRD002,12,0
CALL000349,HCP0084,REP028,2025-04-26,PRD005,10,0
CALL000350,HCP0084,REP028,2025-01-05,PRD004,20,1
CALL000351,HCP0084,REP028,2025-02-17,PRD004,8,3
CALL000352,HCP0085,REP015,2025-03-19,PRD004,5,1
CALL000353,HCP0085,REP015,2025-12-06,PRD005,19,1
CALL000354,HCP0085,REP015,2025-12-01,PRD005,22,0
CALL000355,HCP0085,REP015,2025-02-08,PRD003,25,0
CALL000356,HCP0085,REP015,2025-08-02,PRD002,29,2
CALL000357,HCP0085,REP015,2025-09-29,PRD001,18,0
CALL000358,HCP0085,REP015,2025-06-01,PRD004,10,0
CALL000359,HCP0085,REP015,2025-03-24,PRD001,23,2
CALL000360,HCP0087,REP022,2025-11-27,PRD003,14,1
CALL000361,HCP0087,REP022,2025-04-21,PRD005,29,0
CALL000362,HCP0087,REP022,2025-07-30,PRD004,17,1
CALL000363,HCP0087,REP022,2025-01-31,PRD005,26,0
CALL000364,HCP0087,REP022,2025-04-14,PRD002,10,0
CALL000365,HCP0088,REP022,2025-04-28,PRD003,14,0
CALL000366,HCP0088,REP022,2025-12-07,PRD004,17,2
CALL000367,HCP0088,REP022,2025-06-25,PRD003,13,3
CALL000368,HCP0089,REP018,2025-04-27,PRD001,23,2
CALL000369,HCP0089,REP018,2025-08-17,PRD003,7,2
CALL000370,HCP0089,REP018,2025-05-10,PRD004,21,2
CALL000371,HCP0089,REP018,2025-05-18,PRD005,16,3
CALL000372,HCP0089,REP018,2025-03-15,PRD003,25,0
CALL000373,HCP0090,REP018,2025-03-18,PRD004,8,1
CALL000374,HCP0090,REP018,2025-08-27,PRD004,16,0
CALL000375,HCP0090,REP018,2025-09-20,PRD002,10,1
CALL000376,HCP0090,REP018,2025-07-06,PRD002,23,0
CALL000377,HCP0090,REP018,2025-06-12,PRD005,25,0
CALL000378,HCP0090,REP018,2025-10-03,PRD005,13,2
CALL000379,HCP0091,REP012,2025-02-19,PRD005,19,0
CALL000380,HCP0091,REP012,2025-10-01,PRD003,12,0
CALL000381,HCP0091,REP012,2025-06-20,PRD004,20,1
CALL000382,HCP0092,REP017,2025-12-19,PRD004,19,2
CALL000383,HCP0092,REP017,2025-06-03,PRD001,17,1
CALL000384,HCP0092,REP017,2025-06-21,PRD004,14,1
CALL000385,HCP0092,REP017,2025-01-23,PRD001,26,0
CALL000386,HCP0093,REP001,2025-09-02,PRD004,5,3
CALL000387,HCP0093,REP001,2025-10-31,PRD002,29,0
CALL000388,HCP0093,REP001,2025-06-06,PRD001,12,0
CALL000389,HCP0094,REP019,2025-01-31,PRD004,22,1
CALL000390,HCP0094,REP019,2025-06-15,PRD002,21,2
CALL000391,HCP0094,REP019,2025-03-28,PRD001,15,2
CALL000392,HCP0095,REP015,2025-03-29,PRD004,9,0
CALL000393,HCP0095,REP015,2025-10-21,PRD002,6,2
CALL000394,HCP0095,REP015,2025-01-08,PRD001,17,0
CALL000395,HCP0095,REP015,2025-05-10,PRD004,21,1
CALL000396,HCP0096,REP026,2025-02-25,PRD001,14,0
CALL000397,HCP0096,REP026,2025-08-20,PRD005,16,2
CALL000398,HCP0096,REP026,2025-11-30,PRD004,20,1
CALL000399,HCP0096,REP026,2025-08-30,PRD004,25,0
CALL000400,HCP0096,REP026,2025-08-24,PRD002,29,1
CALL000401,HCP0096,REP026,2025-10-13,PRD001,21,1
CALL000402,HCP0096,REP026,2025-11-16,PRD005,13,3
CALL000403,HCP0097,REP021,2025-11-24,PRD002,29,3
CALL000404,HCP0097,REP021,2025-07-09,PRD004,20,2
CALL000405,HCP0097,REP021,2025-02-17,PRD003,12,1
CALL000406,HCP0097,REP021,2025-02-26,PRD003,27,0
CALL000407,HCP0098,REP019,2025-03-08,PRD001,21,1
CALL000408,HCP0098,REP019,2025-01-04,PRD004,19,1
CALL000409,HCP0098,REP019,2025-04-19,PRD003,28,1
CALL000410,HCP0099,REP021,2025-12-29,PRD001,24,2
CALL000411,HCP0099,REP021,2025-06-14,PRD004,14,1
CALL000412,HCP0100,REP007,2025-03-15,PRD004,27,1
CALL000413,HCP0100,REP007,2025-04-06,PRD002,13,0
CALL000414,HCP0100,REP007,2025-11-17,PRD004,9,3
CALL000415,HCP0100,REP007,2025-05-29,PRD005,24,2
CALL000416,HCP0101,REP017,2025-09-13,PRD005,12,1
CALL000417,HCP0101,REP017,2025-11-17,PRD002,5,0
CALL000418,HCP0102,REP015,2025-03-01,PRD002,15,2
CALL000419,HCP0102,REP015,2025-08-16,PRD001,17,2
CALL000420,HCP0102,REP015,2025-08-27,PRD005,24,0
CALL000421,HCP0102,REP015,2025-08-16,PRD005,25,1
CALL000422,HCP0102,REP015,2025-10-08,PRD001,25,2
CALL000423,HCP0103,REP010,2025-07-31,PRD002,10,1
CALL000424,HCP0103,REP010,2025-08-18,PRD003,13,1
CALL000425,HCP0103,REP010,2025-08-16,PRD003,10,2
CALL000426,HCP0103,REP010,2025-04-11,PRD005,17,2
CALL000427,HCP0104,REP019,2025-12-17,PRD002,16,0
CALL000428,HCP0104,REP019,2025-04-29,PRD004,16,0
CALL000429,HCP0104,REP019,2025-04-25,PRD004,14,1
CALL000430,HCP0105,REP011,2025-11-29,PRD003,29,2
CALL000431,HCP0105,REP011,2025-10-03,PRD003,27,0
CALL000432,HCP0105,REP011,2025-03-23,PRD002,23,0
CALL000433,HCP0106,REP028,2025-04-03,PRD003,24,2
CALL000434,HCP0106,REP028,2025-06-16,PRD001,27,0
CALL000435,HCP0106,REP028,2025-07-05,PRD001,8,0
