hcp_id,product_id,month,rx_count,list_price_usd,revenue_usd
HCP0015,PRD002,2025-08,6,85,510
HCP0015,PRD005,2025-09,2,45,90
HCP0015,PRD001,2025-10,5,120,600
HCP0015,PRD001,2025-11,4,120,480
HCP0015,PRD003,2025-12,7,950,6650
HCP0016,PRD003,2025-01,10,950,9500
HCP0016,PRD002,2025-02,5,85,425
HCP0016,PRD002,2025-03,3,85,255
HCP0016,PRD005,2025-04,12,45,540
HCP0016,PRD005,2025-05,1,45,45
HCP0016,PRD005,2025-06,6,45,270
HCP0016,PRD002,2025-07,5,85,425
HCP0016,PRD001,2025-08,10,120,1200
HCP0016,PRD003,2025-09,10,950,9500
HCP0016,PRD003,2025-10,11,950,10450
HCP0016,PRD002,2025-11,6,85,510
HCP0016,PRD003,2025-12,7,950,6650
HCP0017,PRD001,2025-01,6,120,720
HCP0017,PRD002,2025-02,3,85,255
HCP0017,PRD003,2025-03,2,950,1900
HCP0017,PRD004,2025-04,7,60,420
HCP0017,PRD001,2025-05,4,120,480
HCP0017,PRD005,2025-06,9,45,405
HCP0017,PRD002,2025-07,11,85,935
HCP0017,PRD003,2025-08,16,950,15200
HCP0017,PRD004,2025-09,12,60,720
HCP0017,PRD004,2025-10,9,60,540
HCP0017,PRD004,2025-11,5,60,300
HCP0017,PRD001,2025-12,8,120,960
HCP0018,PRD004,2025-01,1,60,60
HCP0018,PRD001,2025-02,5,120,600
HCP0018,PRD002,2025-03,5,85,425
HCP0018,PRD001,2025-04,6,120,720
HCP0018,PRD005,2025-05,2,45,90
HCP0018,PRD002,2025-06,1,85,85
HCP0018,PRD005,2025-07,5,45,225
HCP0018,PRD003,2025-08,3,950,2850
HCP0018,PRD002,2025-09,2,85,170
HCP0018,PRD004,2025-10,5,60,300
HCP0018,PRD001,2025-11,2,120,240
HCP0018,PRD001,2025-12,5,120,600
HCP0019,PRD005,2025-01,11,45,495
HCP0019,PRD002,2025-02,7,85,595
HCP0019,PRD005,2025-03,5,45,225
HCP0019,PRD004,2025-04,16,60,960
HCP0019,PRD002,2025-05,11,85,935
HCP0019,PRD005,2025-06,6,45,270
HCP0019,PRD003,2025-07,5,950,4750
HCP0019,PRD004,2025-08,9,60,540
HCP0019,PRD001,2025-09,4,120,480
HCP0019,PRD002,2025-10,8,85,680
HCP0019,PRD001,2025-11,10,120,1200
HCP0019,PRD004,2025-12,8,60,480
HCP0020,PRD003,2025-01,9,950,8550
HCP0020,PRD002,2025-02,5,85,425
HCP0020,PRD002,2025-03,4,85,340
HCP0020,PRD004,2025-04,8,60,480
HCP0020,PRD005,2025-05,5,45,225
HCP0020,PRD004,2025-07,5,60,300
HCP0020,PRD003,2025-08,6,950,5700
HCP0020,PRD004,2025-09,3,60,180
HCP0020,PRD003,2025-10,4,950,3800
HCP0020,PRD002,2025-11,1,85,85
HCP0020,PRD001,2025-12,5,120,600
HCP0021,PRD001,2025-01,13,120,1560
HCP0021,PRD001,2025-02,10,120,1200
HCP0021,PRD003,2025-03,10,950,9500
HCP0021,PRD005,2025-04,8,45,360
HCP0021,PRD001,2025-05,5,120,600
HCP0021,PRD004,2025-06,7,60,420
HCP0021,PRD002,2025-07,2,85,170
HCP0021,PRD001,2025-08,8,120,960
HCP0021,PRD005,2025-09,1,45,45
HCP0021,PRD002,2025-10,6,85,510
HCP0021,PRD005,2025-11,7,45,315
HCP0021,PRD003,2025-12,3,950,2850
HCP0022,PRD004,2025-01,2,60,120
HCP0022,PRD002,2025-03,2,85,170
HCP0022,PRD003,2025-04,8,950,7600
HCP0022,PRD005,2025-05,5,45,225
HCP0022,PRD001,2025-06,3,120,360
HCP0022,PRD001,2025-07,3,120,360
HCP0022,PRD001,2025-08,8,120,960
HCP0022,PRD004,2025-09,14,60,840
HCP0022,PRD004,2025-10,4,60,240
HCP0022,PRD005,2025-11,3,45,135
HCP0022,PRD005,2025-12,4,45,180
HCP0023,PRD005,2025-01,8,45,360
HCP0023,PRD004,2025-02,1,60,60
HCP0023,PRD002,2025-04,6,85,510
HCP0023,PRD004,2025-05,2,60,120
HCP0023,PRD005,2025-06,4,45,180
HCP0023,PRD001,2025-07,2,120,240
HCP0023,PRD001,2025-08,11,120,1320
HCP0023,PRD004,2025-09,4,60,240
HCP0023,PRD005,2025-10,11,45,495
HCP0023,PRD001,2025-11,10,120,1200
HCP0023,PRD005,2025-12,7,45,315
HCP0024,PRD003,2025-01,3,950,2850
HCP0024,PRD002,2025-02,2,85,170
HCP0024,PRD004,2025-03,7,60,420
HCP0024,PRD005,2025-04,3,45,135
HCP0024,PRD005,2025-05,4,45,180
HCP0024,PRD003,2025-06,1,950,950
HCP0024,PRD001,2025-07,3,120,360
HCP0024,PRD005,2025-08,8,45,360
HCP0024,PRD003,2025-09,5,950,4750
HCP0024,PRD004,2025-10,4,60,240
HCP0024,PRD004,2025-11,5,60,300
HCP0024,PRD003,2025-12,5,950,4750
HCP0025,PRD005,2025-01,6,45,270
HCP0025,PRD001,2025-02,14,120,1680
HCP0025,PRD005,2025-03,8,45,360
HCP0025,PRD004,2025-05,5,60,300
HCP0025,PRD003,2025-06,10,950,9500
HCP0025,PRD001,2025-07,7,120,840
HCP0025,PRD003,2025-08,8,950,7600
HCP0025,PRD004,2025-09,11,60,660
HCP0025,PRD004,2025-10,4,60,240
HCP0025,PRD005,2025-11,4,45,180
HCP0025,PRD001,2025-12,1,120,120
HCP0026,PRD004,2025-01,5,60,300
HCP0026,PRD001,2025-02,9,120,1080
HCP0026,PRD003,2025-03,10,950,9500
HCP0026,PRD005,2025-04,6,45,270
HCP0026,PRD001,2025-05,7,120,840
HCP0026,PRD001,2025-06,4,120,480
HCP0026,PRD001,2025-07,11,120,1320
HCP0026,PRD005,2025-08,12,45,540
HCP0026,PRD002,2025-09,11,85,935
HCP0026,PRD001,2025-10,9,120,1080
HCP0026,PRD004,2025-12,11,60,660
HCP0027,PRD002,2025-01,7,85,595
HCP0027,PRD004,2025-02,17,60,1020
HCP0027,PRD005,2025-03,8,45,360
HCP0027,PRD005,2025-04,19,45,855
HCP0027,PRD002,2025-05,12,85,1020
HCP0027,PRD004,2025-06,10,60,600
HCP0027,PRD004,2025-07,13,60,780
HCP0027,PRD003,2025-08,9,950,8550
HCP0027,PRD004,2025-09,5,60,300
HCP0027,PRD001,2025-10,14,120,1680
HCP0027,PRD002,2025-11,16,85,1360
HCP0027,PRD001,2025-12,10,120,1200
HCP0028,PRD001,2025-01,6,120,720
HCP0028,PRD003,2025-02,5,950,4750
HCP0028,PRD005,2025-03,11,45,495
HCP0028,PRD001,2025-04,15,120,1800
HCP0028,PRD005,2025-05,4,45,180
HCP0028,PRD004,2025-06,4,60,240
HCP0028,PRD001,2025-07,5,120,600
HCP0028,PRD005,2025-08,13,45,585
HCP0028,PRD004,2025-09,6,60,360
HCP0028,PRD004,2025-10,6,60,360
HCP0028,PRD005,2025-11,5,45,225
HCP0028,PRD005,2025-12,3,45,135
HCP0029,PRD002,2025-01,5,85,425
HCP0029,PRD004,2025-02,6,60,360
HCP0029,PRD004,2025-03,4,60,240
HCP0029,PRD002,2025-04,4,85,340
HCP0029,PRD003,2025-05,2,950,1900
HCP0029,PRD001,2025-07,6,120,720
HCP0029,PRD004,2025-08,3,60,180
HCP0029,PRD003,2025-09,2,950,1900
HCP0029,PRD002,2025-10,1,85,85
HCP0029,PRD003,2025-11,4,950,3800
HCP0030,PRD004,2025-01,8,60,480
HCP0030,PRD003,2025-02,5,950,4750
HCP0030,PRD005,2025-04,6,45,270
HCP0030,PRD003,2025-05,10,950,9500
HCP0030,PRD005,2025-06,11,45,495
HCP0030,PRD004,2025-07,6,60,360
HCP0030,PRD005,2025-08,12,45,540
HCP0030,PRD003,2025-09,5,950,4750
HCP0030,PRD004,2025-10,7,60,420
HCP0030,PRD003,2025-11,6,950,5700
HCP0030,PRD004,2025-12,11,60,660
HCP0031,PRD005,2025-01,6,45,270
HCP0031,PRD003,2025-02,7,950,6650
HCP0031,PRD001,2025-03,13,120,1560
HCP0031,PRD005,2025-04,3,45,135
HCP0031,PRD005,2025-05,6,45,270
HCP0031,PRD005,2025-07,2,45,90
HCP0031,PRD004,2025-08,7,60,420
HCP0031,PRD005,2025-09,5,45,225
HCP0031,PRD003,2025-10,10,950,9500
HCP0031,PRD001,2025-11,12,120,1440
HCP0031,PRD004,2025-12,7,60,420
HCP0032,PRD003,2025-01,15,950,14250
HCP0032,PRD004,2025-02,14,60,840
HCP0032,PRD004,2025-03,7,60,420
HCP0032,PRD005,2025-04,11,45,495
HCP0032,PRD005,2025-05,10,45,450
HCP0032,PRD005,2025-06,13,45,585
HCP0032,PRD002,2025-07,17,85,1445
HCP0032,PRD004,2025-08,15,60,900
HCP0032,PRD005,2025-09,11,45,495
HCP0032,PRD002,2025-10,6,85,510
HCP0032,PRD003,2025-11,9,950,8550
HCP0032,PRD002,2025-12,2,85,170
HCP0033,PRD004,2025-01,7,60,420
HCP0033,PRD001,2025-02,6,120,720
HCP0033,PRD005,2025-03,10,45,450
HCP0033,PRD003,2025-04,13,950,12350
HCP0033,PRD003,2025-05,10,950,9500
HCP0033,PRD001,2025-06,8,120,960
HCP0033,PRD004,2025-07,11,60,660
HCP0033,PRD005,2025-08,10,45,450
HCP0033,PRD003,2025-09,9,950,8550
HCP0033,PRD001,2025-10,10,120,1200
HCP0033,PRD003,2025-11,7,950,6650
HCP0033,PRD005,2025-12,7,45,315
HCP0034,PRD005,2025-01,5,45,225
HCP0034,PRD001,2025-02,5,120,600
HCP0034,PRD004,2025-03,3,60,180
HCP0034,PRD002,2025-06,1,85,85
HCP0034,PRD005,2025-07,2,45,90
HCP0034,PRD004,2025-08,6,60,360
HCP0034,PRD001,2025-09,5,120,600
HCP0034,PRD005,2025-10,3,45,135
HCP0034,PRD001,2025-11,7,120,840
HCP0034,PRD002,2025-12,2,85,170
HCP0035,PRD005,2025-01,9,45,405
HCP0035,PRD001,2025-02,10,120,1200
HCP0035,PRD004,2025-03,16,60,960
HCP0035,PRD002,2025-04,10,85,850
HCP0035,PRD003,2025-05,12,950,11400
HCP0035,PRD004,2025-06,10,60,600
HCP0035,PRD002,2025-07,13,85,1105
HCP0035,PRD001,2025-08,13,120,1560
HCP0035,PRD003,2025-09,3,950,2850
HCP0035,PRD003,2025-10,15,950,14250
HCP0035,PRD004,2025-11,12,60,720
HCP0035,PRD001,2025-12,7,120,840
HCP0036,PRD001,2025-01,10,120,1200
HCP0036,PRD005,2025-02,7,45,315
HCP0036,PRD003,2025-03,11,950,10450
HCP0036,PRD002,2025-04,1,85,85
HCP0036,PRD004,2025-05,2,60,120
HCP0036,PRD004,2025-07,11,60,660
HCP0036,PRD002,2025-08,6,85,510
HCP0036,PRD003,2025-09,3,950,2850
HCP0036,PRD005,2025-10,16,45,720
HCP0036,PRD004,2025-11,8,60,480
HCP0037,PRD003,2025-01,6,950,5700
HCP0037,PRD001,2025-02,4,120,480
HCP0037,PRD001,2025-03,3,120,360
HCP0037,PRD005,2025-04,3,45,135
HCP0037,PRD002,2025-05,6,85,510
HCP0037,PRD001,2025-06,4,120,480
HCP0037,PRD002,2025-07,2,85,170
HCP0037,PRD003,2025-08,7,950,6650
HCP0037,PRD004,2025-09,4,60,240
HCP0037,PRD001,2025-10,2,120,240
HCP0037,PRD004,2025-11,5,60,300
HCP0037,PRD002,2025-12,3,85,255
HCP0038,PRD001,2025-01,7,120,840
HCP0038,PRD001,2025-02,13,120,1560
HCP0038,PRD001,2025-03,9,120,1080
HCP0038,PRD005,2025-04,16,45,720
HCP0038,PRD003,2025-05,15,950,14250
HCP0038,PRD002,2025-06,10,85,850
HCP0038,PRD002,2025-07,9,85,765
HCP0038,PRD004,2025-08,6,60,360
HCP0038,PRD003,2025-09,7,950,6650
HCP0038,PRD004,2025-10,1,60,60
HCP0038,PRD002,2025-11,6,85,510
HCP0038,PRD004,2025-12,15,60,900
HCP0039,PRD004,2025-01,2,60,120
HCP0039,PRD001,2025-02,5,120,600
HCP0039,PRD005,2025-03,2,45,90
HCP0039,PRD002,2025-04,4,85,340
HCP0039,PRD005,2025-05,4,45,180
HCP0039,PRD004,2025-06,6,60,360
HCP0039,PRD002,2025-07,6,85,510
HCP0039,PRD001,2025-08,3,120,360
HCP0039,PRD003,2025-09,4,950,3800
HCP0039,PRD005,2025-10,5,45,225
HCP0039,PRD001,2025-11,7,120,840
HCP0039,PRD002,2025-12,4,85,340
HCP0040,PRD002,2025-01,7,85,595
HCP0040,PRD001,2025-02,9,120,1080
HCP0040,PRD003,2025-03,2,950,1900
HCP0040,PRD001,2025-04,4,120,480
HCP0040,PRD001,2025-05,9,120,1080
HCP0040,PRD005,2025-06,6,45,270
HCP0040,PRD002,2025-07,4,85,340
HCP0040,PRD001,2025-08,1,120,120
HCP0040,PRD002,2025-09,8,85,680
HCP0040,PRD004,2025-10,8,60,480
HCP0040,PRD003,2025-11,7,950,6650
HCP0040,PRD003,2025-12,1,950,950
HCP0041,PRD003,2025-01,5,950,4750
HCP0041,PRD003,2025-02,3,950,2850
HCP0041,PRD005,2025-03,12,45,540
HCP0041,PRD002,2025-04,6,85,510
HCP0041,PRD004,2025-05,7,60,420
HCP0041,PRD002,2025-06,5,85,425
HCP0041,PRD001,2025-07,2,120,240
HCP0041,PRD001,2025-08,5,120,600
HCP0041,PRD004,2025-09,5,60,300
HCP0041,PRD005,2025-10,6,45,270
HCP0041,PRD005,2025-11,5,45,225
HCP0041,PRD002,2025-12,7,85,595
HCP0042,PRD003,2025-01,2,950,1900
HCP0042,PRD003,2025-02,1,950,950
HCP0042,PRD002,2025-03,4,85,340
HCP0042,PRD002,2025-04,2,85,170
HCP0042,PRD002,2025-05,4,85,340
HCP0042,PRD003,2025-06,4,950,3800
HCP0042,PRD005,2025-07,1,45,45
HCP0042,PRD002,2025-08,1,85,85
HCP0042,PRD005,2025-09,6,45,270
HCP0042,PRD005,2025-10,2,45,90
HCP0042,PRD003,2025-11,4,950,3800
HCP0043,PRD002,2025-01,9,85,765
HCP0043,PRD001,2025-02,9,120,1080
HCP0043,PRD005,2025-03,27,45,1215
HCP0043,PRD002,2025-04,2,85,170
HCP0043,PRD005,2025-05,4,45,180
HCP0043,PRD003,2025-06,9,950,8550
HCP0043,PRD001,2025-07,10,120,1200
HCP0043,PRD002,2025-09,10,85,850
HCP0043,PRD004,2025-10,3,60,180
HCP0043,PRD001,2025-11,4,120,480
HCP0043,PRD001,2025-12,10,120,1200
HCP0044,PRD003,2025-02,5,950,4750
HCP0044,PRD005,2025-03,8,45,360
HCP0044,PRD002,2025-04,7,85,595
HCP0044,PRD005,2025-05,5,45,225
HCP0044,PRD005,2025-06,10,45,450
HCP0044,PRD001,2025-07,1,120,120
HCP0044,PRD001,2025-08,1,120,120
HCP0044,PRD004,2025-09,4,60,240
HCP0044,PRD001,2025-10,2,120,240
HCP0044,PRD003,2025-11,9,950,8550
HCP0044,PRD005,2025-12,5,45,225
HCP0045,PRD002,2025-01,3,85,255
HCP0045,PRD002,2025-02,2,85,170
HCP0045,PRD004,2025-03,2,60,120
HCP0045,PRD005,2025-04,2,45,90
HCP0045,PRD005,2025-05,4,45,180
HCP0045,PRD004,2025-06,6,60,360
HCP0045,PRD004,2025-07,1,60,60
HCP0045,PRD001,2025-08,4,120,480
HCP0045,PRD005,2025-09,3,45,135
HCP0045,PRD005,2025-10,1,45,45
HCP0045,PRD004,2025-11,1,60,60
HCP0045,PRD005,2025-12,1,45,45
HCP0046,PRD005,2025-01,3,45,135
HCP0046,PRD004,2025-02,2,60,120
HCP0046,PRD003,2025-03,2,950,1900
HCP0046,PRD004,2025-05,1,60,60
HCP0046,PRD001,2025-06,2,120,240
HCP0046,PRD002,2025-07,2,85,170
HCP0046,PRD001,2025-08,1,120,120
HCP0046,PRD005,2025-10,3,45,135
HCP0046,PRD003,2025-11,2,950,1900
HCP0046,PRD005,2025-12,1,45,45
HCP0047,PRD001,2025-01,5,120,600
HCP0047,PRD005,2025-02,4,45,180
HCP0047,PRD001,2025-03,4,120,480
HCP0047,PRD005,2025-04,9,45,405
HCP0047,PRD005,2025-05,6,45,270
HCP0047,PRD003,2025-06,8,950,7600
HCP0047,PRD001,2025-07,9,120,1080
HCP0047,PRD001,2025-08,5,120,600
HCP0047,PRD002,2025-09,6,85,510
HCP0047,PRD005,2025-10,6,45,270
HCP0047,PRD005,2025-11,3,45,135
HCP0047,PRD001,2025-12,9,120,1080
HCP0048,PRD004,2025-01,3,60,180
HCP0048,PRD004,2025-02,5,60,300
HCP0048,PRD001,2025-03,7,120,840
HCP0048,PRD002,2025-04,15,85,1275
HCP0048,PRD004,2025-05,9,60,540
HCP0048,PRD002,2025-06,13,85,1105
HCP0048,PRD004,2025-07,10,60,600
HCP0048,PRD004,2025-08,10,60,600
HCP0048,PRD003,2025-09,10,950,9500
HCP0048,PRD002,2025-10,7,85,595
HCP0048,PRD003,2025-11,4,950,3800
HCP0048,PRD002,2025-12,13,85,1105
HCP0049,PRD004,2025-01,2,60,120
HCP0049,PRD004,2025-02,2,60,120
HCP0049,PRD003,2025-03,2,950,1900
HCP0049,PRD002,2025-04,8,85,680
HCP0049,PRD005,2025-05,3,45,135
HCP0049,PRD005,2025-07,3,45,135
HCP0049,PRD005,2025-08,8,45,360
HCP0049,PRD005,2025-09,1,45,45
HCP0049,PRD001,2025-11,2,120,240
HCP0049,PRD004,2025-12,2,60,120
HCP0050,PRD004,2025-01,13,60,780
HCP0050,PRD005,2025-02,16,45,720
HCP0050,PRD005,2025-03,9,45,405
HCP0050,PRD003,2025-04,21,950,19950
HCP0050,PRD001,2025-05,8,120,960
HCP0050,PRD005,2025-06,3,45,135
HCP0050,PRD002,2025-07,2,85,170
HCP0050,PRD003,2025-08,1,950,950
HCP0050,PRD004,2025-09,15,60,900
HCP0050,PRD001,2025-10,6,120,720
HCP0050,PRD001,2025-11,10,120,1200
HCP0050,PRD005,2025-12,8,45,360
HCP0051,PRD002,2025-01,5,85,425
HCP0051,PRD005,2025-02,1,45,45
HCP0051,PRD003,2025-03,6,950,5700
HCP0051,PRD001,2025-04,4,120,480
HCP0051,PRD003,2025-05,5,950,4750
HCP0051,PRD001,2025-06,6,120,720
HCP0051,PRD001,2025-07,4,120,480
HCP0051,PRD002,2025-08,5,85,425
HCP0051,PRD004,2025-09,3,60,180
HCP0051,PRD003,2025-10,5,950,4750
HCP0051,PRD005,2025-11,4,45,180
HCP0051,PRD003,2025-12,3,950,2850
HCP0052,PRD001,2025-02,1,120,120
HCP0052,PRD002,2025-03,6,85,510
HCP0052,PRD001,2025-04,9,120,1080
HCP0052,PRD004,2025-05,6,60,360
HCP0052,PRD003,2025-06,6,950,5700
HCP0052,PRD005,2025-08,6,45,270
HCP0052,PRD003,2025-09,5,950,4750
HCP0052,PRD001,2025-10,5,120,600
HCP0052,PRD005,2025-11,1,45,45
HCP0052,PRD005,2025-12,7,45,315
HCP0053,PRD004,2025-01,6,60,360
HCP0053,PRD002,2025-02,9,85,765
HCP0053,PRD005,2025-03,7,45,315
HCP0053,PRD002,2025-04,4,85,340
HCP0053,PRD002,2025-05,5,85,425
HCP0053,PRD003,2025-06,6,950,5700
HCP0053,PRD005,2025-07,6,45,270
HCP0053,PRD003,2025-08,9,950,8550
HCP0053,PRD005,2025-09,3,45,135
HCP0053,PRD005,2025-10,1,45,45
HCP0053,PRD003,2025-11,4,950,3800
HCP0053,PRD002,2025-12,3,85,255
HCP0054,PRD001,2025-01,10,120,1200
HCP0054,PRD004,2025-02,15,60,900
HCP0054,PRD002,2025-03,8,85,680
HCP0054,PRD001,2025-04,5,120,600
HCP0054,PRD001,2025-05,1,120,120
HCP0054,PRD001,2025-06,5,120,600
HCP0054,PRD001,2025-07,5,120,600
HCP0054,PRD005,2025-08,7,45,315
HCP0054,PRD003,2025-09,2,950,1900
HCP0054,PRD004,2025-10,7,60,420
HCP0054,PRD003,2025-11,7,950,6650
HCP0054,PRD004,2025-12,5,60,300
HCP0055,PRD001,2025-01,5,120,600
HCP0055,PRD004,2025-02,8,60,480
HCP0055,PRD003,2025-03,5,950,4750
HCP0055,PRD004,2025-04,4,60,240
HCP0055,PRD003,2025-05,8,950,7600
HCP0055,PRD002,2025-06,9,85,765
HCP0055,PRD004,2025-07,10,60,600
HCP0055,PRD003,2025-08,14,950,13300
HCP0055,PRD001,2025-09,8,120,960
HCP0055,PRD003,2025-10,10,950,9500
HCP0055,PRD003,2025-11,3,950,2850
HCP0055,PRD003,2025-12,4,950,3800
HCP0056,PRD005,2025-01,3,45,135
HCP0056,PRD002,2025-02,5,85,425
